Cases,Date,Number of cases
Confirmed cases,28/5/2020,328
Confirmed cases,29/5/2020,328
Confirmed cases,30/5/2020,328
Confirmed cases,31/5/2020,328
Confirmed cases,1/6/2020,328
Confirmed cases,2/6/2020,328
Confirmed cases,3/6/2020,328
Confirmed cases,4/6/2020,328
Confirmed cases,5/6/2020,328
Confirmed cases,6/6/2020,328
Confirmed cases,7/6/2020,329
Confirmed cases,8/6/2020,332
Active cases,13/2/2020,9
Active cases,14/2/2020,9
Active cases,15/2/2020,9
Active cases,16/2/2020,9
Active cases,17/2/2020,2
Active cases,18/2/2020,2
Active cases,19/2/2020,2
Active cases,20/2/2020,1
Active cases,21/2/2020,1
Active cases,22/2/2020,1
Active cases,23/2/2020,1
Active cases,24/2/2020,1
Active cases,25/2/2020,0
Active cases,26/2/2020,0
Active cases,27/2/2020,0
Active cases,28/2/2020,0
Active cases,29/2/2020,0
Active cases,1/3/2020,0
Active cases,2/3/2020,0
Active cases,3/3/2020,0
Active cases,4/3/2020,0
Active cases,5/3/2020,0
Active cases,6/3/2020,0
Active cases,7/3/2020,2
Active cases,8/3/2020,5
Active cases,9/3/2020,14
Active cases,10/3/2020,18
Active cases,11/3/2020,22
Active cases,12/3/2020,23
Active cases,13/3/2020,28
Active cases,14/3/2020,37
Active cases,15/3/2020,37
Active cases,16/3/2020,41
Active cases,17/3/2020,45
Active cases,18/3/2020,51
Active cases,19/3/2020,60
Active cases,20/3/2020,71
Active cases,21/3/2020,71
Active cases,22/3/2020,78
Active cases,23/3/2020,104
Active cases,24/3/2020,115
Active cases,25/3/2020,120
Active cases,26/3/2020,133
Active cases,27/3/2020,143
Active cases,28/3/2020,150
Active cases,29/3/2020,167
Active cases,30/3/2020,178
Active cases,31/3/2020,151
Active cases,1/4/2020,149
Active cases,2/4/2020,158
Active cases,3/4/2020,151
Active cases,4/4/2020,150
Active cases,5/4/2020,151
Active cases,6/4/2020,150
Active cases,7/4/2020,129
Active cases,8/4/2020,125
Active cases,9/4/2020,127
Active cases,10/4/2020,115
Active cases,11/4/2020,114
Active cases,12/4/2020,118
Active cases,13/4/2020,120
Active cases,14/4/2020,123
Active cases,15/4/2020,97
Active cases,16/4/2020,92
Active cases,17/4/2020,70
Active cases,18/4/2020,70
Active cases,19/4/2020,65
Active cases,20/4/2020,65
Active cases,21/4/2020,52
Active cases,22/4/2020,46
Active cases,23/4/2020,44
Active cases,24/4/2020,45
Active cases,25/4/2020,40
Active cases,26/4/2020,40
Active cases,27/4/2020,40
Active cases,28/4/2020,40
Active cases,29/4/2020,40
Active cases,30/4/2020,40
Active cases,1/5/2020,40
Active cases,2/5/2020,40
Active cases,3/5/2020,41
Active cases,4/5/2020,54
Active cases,5/5/2020,54
Active cases,6/5/2020,54
Active cases,7/5/2020,48
Active cases,8/5/2020,55
Active cases,9/5/2020,55
Active cases,10/5/2020,55
Active cases,11/5/2020,40
Active cases,12/5/2020,40
Active cases,13/5/2020,40
Active cases,14/5/2020,37
Active cases,15/5/2020,63
Active cases,16/5/2020,58
Active cases,17/5/2020,60
Active cases,18/5/2020,64
Active cases,19/5/2020,61
Active cases,20/5/2020,61
Active cases,21/5/2020,61
Active cases,22/5/2020,61
Active cases,23/5/2020,58
Active cases,24/5/2020,59
Active cases,25/5/2020,60
Active cases,26/5/2020,56
Active cases,27/5/2020,56
Active cases,28/5/2020,57
Active cases,29/5/2020,50
Active cases,30/5/2020,50
Active cases,31/5/2020,50
Active cases,1/6/2020,50
Active cases,2/6/2020,50
Active cases,3/6/2020,50
Active cases,4/6/2020,34
Active cases,5/6/2020,34
Active cases,6/6/2020,21
Active cases,7/6/2020,23
Active cases,8/6/2020,24
Recovered cases,13/2/2020,7
Recovered cases,14/2/2020,7
Recovered cases,15/2/2020,7
Recovered cases,16/2/2020,7
Recovered cases,17/2/2020,14
Recovered cases,18/2/2020,14
Recovered cases,19/2/2020,14
Recovered cases,20/2/2020,15
Recovered cases,21/2/2020,15
Recovered cases,22/2/2020,15
Recovered cases,23/2/2020,15
Recovered cases,24/2/2020,15
Recovered cases,25/2/2020,16
Recovered cases,26/2/2020,16
Recovered cases,27/2/2020,16
Recovered cases,28/2/2020,16
Recovered cases,29/2/2020,16
Recovered cases,1/3/2020,16
Recovered cases,2/3/2020,16
Recovered cases,3/3/2020,16
Recovered cases,4/3/2020,16
Recovered cases,5/3/2020,16
Recovered cases,6/3/2020,16
Recovered cases,7/3/2020,16
Recovered cases,8/3/2020,16
Recovered cases,9/3/2020,16
Recovered cases,10/3/2020,16
Recovered cases,11/3/2020,16
Recovered cases,12/3/2020,16
Recovered cases,13/3/2020,16
Recovered cases,14/3/2020,16
Recovered cases,15/3/2020,16
Recovered cases,16/3/2020,16
Recovered cases,17/3/2020,16
Recovered cases,18/3/2020,17
Recovered cases,19/3/2020,16
Recovered cases,20/3/2020,16
Recovered cases,21/3/2020,17
Recovered cases,22/3/2020,17
Recovered cases,23/3/2020,17
Recovered cases,24/3/2020,17
Recovered cases,25/3/2020,17
Recovered cases,26/3/2020,20
Recovered cases,27/3/2020,20
Recovered cases,28/3/2020,21
Recovered cases,29/3/2020,21
Recovered cases,30/3/2020,25
Recovered cases,31/3/2020,55
Recovered cases,1/4/2020,63
Recovered cases,2/4/2020,75
Recovered cases,3/4/2020,85
Recovered cases,4/4/2020,90
Recovered cases,5/4/2020,90
Recovered cases,6/4/2020,95
Recovered cases,7/4/2020,122
Recovered cases,8/4/2020,126
Recovered cases,9/4/2020,128
Recovered cases,10/4/2020,142
Recovered cases,11/4/2020,144
Recovered cases,12/4/2020,144
Recovered cases,13/4/2020,144
Recovered cases,14/4/2020,144
Recovered cases,15/4/2020,171
Recovered cases,16/4/2020,176
Recovered cases,17/4/2020,198
Recovered cases,18/4/2020,198
Recovered cases,19/4/2020,203
Recovered cases,20/4/2020,203
Recovered cases,21/4/2020,216
Recovered cases,22/4/2020,222
Recovered cases,23/4/2020,224
Recovered cases,24/4/2020,225
Recovered cases,25/4/2020,230
Recovered cases,26/4/2020,230
Recovered cases,27/4/2020,230
Recovered cases,28/4/2020,230
Recovered cases,29/4/2020,230
Recovered cases,30/4/2020,230
Recovered cases,1/5/2020,230
Recovered cases,2/5/2020,230
Recovered cases,3/5/2020,230
Recovered cases,4/5/2020,217
Recovered cases,5/5/2020,217
Recovered cases,6/5/2020,217
Recovered cases,7/5/2020,240
Recovered cases,8/5/2020,233
Recovered cases,9/5/2020,233
Recovered cases,10/5/2020,233
Recovered cases,11/5/2020,248
Recovered cases,12/5/2020,248
Recovered cases,13/5/2020,248
Recovered cases,14/5/2020,251
Recovered cases,15/5/2020,251
Recovered cases,16/5/2020,260
Recovered cases,17/5/2020,260
Recovered cases,18/5/2020,260
Recovered cases,19/5/2020,263
Recovered cases,20/5/2020,263
Recovered cases,21/5/2020,263
Recovered cases,22/5/2020,263
Recovered cases,23/5/2020,266
Recovered cases,24/5/2020,266
Recovered cases,25/5/2020,266
Recovered cases,26/5/2020,271
Recovered cases,27/5/2020,271
Recovered cases,28/5/2020,271
Recovered cases,29/5/2020,278
Recovered cases,30/5/2020,278
Recovered cases,31/5/2020,278
Recovered cases,1/6/2020,278
Recovered cases,2/6/2020,278
Recovered cases,3/6/2020,278
Recovered cases,4/6/2020,294
Recovered cases,5/6/2020,294
Recovered cases,6/6/2020,307
Recovered cases,7/6/2020,307
Recovered cases,8/6/2020,307
